date,price,market_cap,volume
2025-05-21,650.95130104,94965618935.81,763647929.53
2025-05-22,674.71383266,98432365398.04,1565136776.74
2025-05-23,686.03023933,100085321215.11,1382711893.51
2025-05-24,655.36811105,95613306965.63,1217926335.78
2025-05-25,667.96479533,97476274852.9,693430871.79
2025-05-26,670.01213939,97751564279.6,768619050.92
2025-05-27,673.78376053,98296679430.88,666132639.45
2025-05-28,687.43630263,100298731784.84,1078653384.12
2025-05-29,687.6310593,100335504950.89,824780509.87
2025-05-30,675.41108128,98510865071.54,995474417.04
2025-05-31,656.20313808,95726822897.52,923659967.23
2025-06-01,658.57269428,96080182534.48,589938636.8
2025-06-02,661.34522614,96509769841.12,513744446.15
2025-06-03,666.05611049,97164288190.66,550346321.11
2025-06-04,661.17332497,96448470573.61,717080413.43
2025-06-05,663.70338541,96818655325.18,585654885.19
2025-06-06,634.14797159,92528733228.31,1050942219.45
2025-06-07,643.75668415,93918845142.09,828491539.55
2025-06-08,650.79379979,94946550697.76,464282809.22
2025-06-09,652.27442855,95162483374.16,277471527.06
2025-06-10,666.33741432,97228659760.42,720838499.86
2025-06-11,673.47605958,98246414096.54,915030301.05
2025-06-12,667.73889301,97396778654.56,926482996.05
2025-06-13,656.4804964,95779026195.61,833602957.1
2025-06-14,654.90954626,95536361449.31,1091022440.76
2025-06-15,645.8086677,94233719227.42,465113546.7
2025-06-16,648.2042601,94569766054.11,342983199.25
2025-06-17,651.48135712,95211381338.87,677081516.8
2025-06-18,648.79947047,94651882459.78,919084069.22
2025-06-19,643.32972768,93851526250.6,370428643.69
