date,price,market_cap,volume
2025-05-21,106786.71995834,2121778617273.82,36393687094.25
2025-05-22,109665.86371625,2178838967665.5,60722883113.84
2025-05-23,111560.35693814,2214712145787.25,52218408239.45
2025-05-24,107216.66856871,2131595896624.44,49251745837.96
2025-05-25,107831.3637438,2142540077685.22,27128230116.52
2025-05-26,108861.81037744,2163072841533.61,29652659665.05
2025-05-27,109377.71513263,2173059855839.42,27950577137.92
2025-05-28,109068.45694901,2167551887130.01,38978783508.89
2025-05-29,107838.184311,2143342706888.31,29794278037.28
2025-05-30,105745.41660358,2101348752694.31,38279231892.57
2025-05-31,104010.91956243,2066830946978.06,39680060337.61
2025-06-01,104687.50742935,2080467809295.77,20432694555.1
2025-06-02,105710.00593823,2101178071590.97,17721500507.53
2025-06-03,105884.74263221,2104229403094.94,26313843058.74
2025-06-04,105434.47745145,2095294001281.48,25925661121.08
2025-06-05,104812.91821881,2083148839111.21,25812143562.8
2025-06-06,101650.73875454,2020294099992.37,39711941132.02
2025-06-07,104409.74967959,2075175500201.43,29897390978.09
2025-06-08,105681.45461418,2100553336902.51,17749731308.73
2025-06-09,105692.24740699,2100654769399.47,16044679696.27
2025-06-10,110261.57485948,2191877481230.95,38222993297.51
2025-06-11,110212.7325211,2189350055406.33,36303839182.73
2025-06-12,108679.97609162,2159529375273.5,30338936631.63
2025-06-13,105979.22902376,2107911943768.3,35865159511.39
2025-06-14,106045.56440819,2107973087547.79,49471015505.74
2025-06-15,105482.90611629,2097486541223.27,17916412455.87
2025-06-16,105554.49383062,2098499110552.62,16568441852.65
2025-06-17,106951.27201815,2127895470544.72,32095957011.72
2025-06-18,104683.42479836,2080968120976.95,38603212010.89
2025-06-19,104365.33174851,2075349594922.57,18020154669.11
