date,price,market_cap,volume
2025-05-21,2524.27434331,304737250158.37,22871462735.42
2025-05-22,2558.95023438,308934701949.72,32697477527.55
2025-05-23,2657.16744476,320733890913.4,29592612076.51
2025-05-24,2519.81380905,304038733414.04,30047329191.5
2025-05-25,2529.44298423,305369227833.42,10744994421.19
2025-05-26,2546.62011634,307423642894.07,13814697849.73
2025-05-27,2562.17292864,309319360637.78,13350148034.29
2025-05-28,2662.09405682,321357595434.52,26434151855.25
2025-05-29,2676.26741245,323119009777.14,18008588586.28
2025-05-30,2633.13920653,317891224562.88,27021441335.52
2025-05-31,2524.47623481,304659964725.22,22927149330.3
2025-06-01,2532.36278531,305718505778.76,13006751258.19
2025-06-02,2538.33005844,306561765778.24,11338340571.11
2025-06-03,2609.73725396,314999579353.96,15623967732.42
2025-06-04,2595.46895701,313315832347.02,15955008730.34
2025-06-05,2610.34318983,315159803382.89,16809606446.18
2025-06-06,2421.60110376,292341916400.95,25849573159.65
2025-06-07,2481.40398367,299560106673.76,18395107930.48
2025-06-08,2526.29199589,304953508465.05,9535426814.69
2025-06-09,2508.78412358,302870081038.26,10206893115.54
2025-06-10,2685.00018504,324315565109.12,19485734665.29
2025-06-11,2808.50320831,339012253954.42,38281210143.95
2025-06-12,2776.13719158,334990282503.4,27369030837.55
2025-06-13,2653.15896845,320595535562.53,26068993569.97
2025-06-14,2577.04861753,311111352117.73,38576471746.01
2025-06-15,2534.07021954,306048481935.16,12077031034.29
2025-06-16,2547.84560409,307537228689.27,11678912429.51
2025-06-17,2561.32984357,309982828015.91,24222149649.17
2025-06-18,2514.98670058,303697873489.69,25926506708.04
2025-06-19,2510.14469325,303232035884.93,10626317269.55
