date,price,market_cap,volume
2025-05-21,94.26172592,7152122191.49,658402463.04
2025-05-22,97.38050298,7381410256.85,560929781.0
2025-05-23,100.3743074,7616964735.32,691189969.23
2025-05-24,95.33939835,7233269342.62,640116441.99
2025-05-25,95.62898063,7257006734.24,349265346.62
2025-05-26,95.59600325,7255210502.68,336902519.27
2025-05-27,94.80730075,7194015758.91,307278487.51
2025-05-28,95.8724415,7276324350.51,444463585.52
2025-05-29,95.34672757,7239564580.68,364860221.02
2025-05-30,93.52332777,7098968919.69,489918920.23
2025-05-31,85.7854944,6508113547.09,609239603.64
2025-06-01,87.30565094,6628302688.82,368570119.91
2025-06-02,88.57738602,6721420578.17,250641738.54
2025-06-03,89.76662848,6817085283.32,315511863.62
2025-06-04,89.6438033,6806094942.62,290415742.27
2025-06-05,88.05528756,6685240482.05,283400245.64
2025-06-06,83.72290562,6353007672.79,386676782.15
2025-06-07,87.20211181,6620122726.49,318815126.97
2025-06-08,88.38406877,6711959208.38,208617335.25
2025-06-09,87.23364804,6624602689.28,219145662.12
2025-06-10,90.68092171,6886795587.12,363461250.73
2025-06-11,93.22402862,7081881855.46,369416831.1
2025-06-12,91.54132655,6949477372.08,409401196.86
2025-06-13,86.57094135,6579438151.49,328147765.23
2025-06-14,86.53660834,6573069858.77,453940334.22
2025-06-15,85.2656109,6477342927.64,202314467.17
2025-06-16,86.2797683,6555841563.76,175003364.65
2025-06-17,87.19451377,6639220730.51,312335922.41
2025-06-18,84.47351349,6419781912.5,358377214.81
2025-06-19,84.98183701,6460798659.37,246468170.09
