date,price,market_cap,volume
2025-05-21,2.35657823,138242427979.5,2736702823.0
2025-05-22,2.40289963,141104708088.65,3857208347.07
2025-05-23,2.42841643,142497452230.75,3423292472.93
2025-05-24,2.29919284,135209260273.53,3803614983.52
2025-05-25,2.33190947,136856085709.12,1372961335.22
2025-05-26,2.34058619,137358561276.95,1905275005.15
2025-05-27,2.30829226,135464456690.67,1661784737.54
2025-05-28,2.31866777,136063470027.77,2048276738.57
2025-05-29,2.27460486,133537852092.55,2074053702.38
2025-05-30,2.25055382,132132467347.39,2179459280.65
2025-05-31,2.14231947,125892164966.56,3372833929.99
2025-06-01,2.17700008,127925904411.57,2268132685.32
2025-06-02,2.18028307,128150107940.42,1521954083.38
2025-06-03,2.20042659,129301420887.84,1856646284.25
2025-06-04,2.24862802,132150735303.63,2193921748.0
2025-06-05,2.2023222,129408473711.79,1714810311.22
2025-06-06,2.09701643,123342049733.7,2893388349.56
2025-06-07,2.16385235,127281615711.76,1854390911.98
2025-06-08,2.17790655,128119087930.24,953843043.43
2025-06-09,2.2629633,133080974653.21,2297445951.39
2025-06-10,2.32107577,136535438437.44,2774696976.07
2025-06-11,2.30501639,135601731484.24,2612062557.98
2025-06-12,2.27014289,133437196298.08,2624047756.95
2025-06-13,2.19542984,129189732814.78,2202653947.41
2025-06-14,2.14886627,126534557978.47,3949716840.39
2025-06-15,2.1418918,126263429802.95,1687489656.58
2025-06-16,2.16631849,127577707973.11,1231293467.18
2025-06-17,2.25553742,133168717149.84,4466552529.62
2025-06-18,2.16323178,127416681908.19,3466660612.11
2025-06-19,2.16254731,127443018802.49,1552597923.35
