Date,Close/Last,Volume,Open,High,Low
06/16/2025,$479.14,15626100,$475.21,$480.6943,$475.00
06/13/2025,$474.96,16814460,$476.41,$479.18,$472.76
06/12/2025,$478.87,18950580,$475.02,$480.415,$473.52
06/11/2025,$472.62,16399180,$470.02,$475.47,$469.655
06/10/2025,$470.92,15375940,$471.185,$472.80,$466.96
06/09/2025,$472.75,16469930,$469.70,$473.43,$468.62
06/06/2025,$470.38,15285620,$470.085,$473.335,$468.78
06/05/2025,$467.68,20154460,$464.955,$469.65,$464.03
06/04/2025,$463.87,14162690,$464.00,$465.69,$463.0201
06/03/2025,$462.97,15743760,$461.47,$464.14,$460.8622
06/02/2025,$461.97,16626500,$457.14,$462.11,$456.89
05/30/2025,$460.36,34770480,$459.715,$461.68,$455.54
05/29/2025,$458.68,13982210,$461.55,$461.72,$455.3105
05/28/2025,$457.36,17086260,$461.22,$462.52,$456.93
05/27/2025,$460.69,20974290,$456.48,$460.95,$456.115
05/23/2025,$450.18,16883510,$449.98,$453.69,$448.91
05/22/2025,$454.86,18025610,$454.95,$460.25,$453.90
05/21/2025,$452.57,19216910,$454.57,$457.78,$451.814
05/20/2025,$458.17,15441810,$455.59,$458.34,$454.3201
05/19/2025,$458.87,21336510,$450.875,$459.585,$450.80
05/16/2025,$454.27,23849780,$452.05,$454.36,$448.73
05/15/2025,$453.13,21992320,$450.765,$456.19,$450.4301
05/14/2025,$452.94,19902800,$448.14,$453.90,$448.14
05/13/2025,$449.14,23618820,$447.78,$450.6733,$445.36
05/12/2025,$449.26,22821940,$445.94,$449.37,$439.78
05/09/2025,$438.73,15324230,$440.00,$440.74,$435.88
05/08/2025,$438.17,23491330,$437.93,$443.67,$435.66
05/07/2025,$433.35,23307240,$433.84,$438.12,$431.1103
05/06/2025,$433.31,15104200,$432.20,$437.73,$431.17
05/05/2025,$436.17,20136050,$432.87,$439.50,$432.11
05/02/2025,$435.28,30757430,$431.74,$439.44,$429.985
05/01/2025,$425.40,58938100,$431.11,$436.99,$424.90
04/30/2025,$395.26,36461080,$390.30,$396.66,$384.44
04/29/2025,$394.04,14973980,$391.30,$395.10,$390.38
04/28/2025,$391.16,16579430,$391.955,$392.74,$386.638
04/25/2025,$391.85,18973170,$387.00,$392.16,$384.60
04/24/2025,$387.30,22232290,$375.695,$388.45,$375.19
04/23/2025,$374.39,20545530,$376.06,$380.39,$373.02
04/22/2025,$366.82,19484990,$363.375,$367.77,$359.8602
04/21/2025,$359.12,20807280,$362.815,$364.48,$355.67
04/17/2025,$367.78,21120190,$373.745,$374.3215,$366.89
04/16/2025,$371.61,21967830,$380.67,$381.61,$368.00
04/15/2025,$385.73,17199890,$388.505,$391.89,$384.1599
04/14/2025,$387.81,19251170,$393.22,$394.65,$384.21
04/11/2025,$388.45,23839220,$380.635,$390.05,$378.89
04/10/2025,$381.35,38024370,$382.06,$383.90,$367.80
04/09/2025,$390.49,50199700,$353.535,$393.225,$353.10
04/08/2025,$354.56,35868920,$368.255,$373.65,$350.25
04/07/2025,$357.86,50425000,$350.88,$370.9999,$344.79
04/04/2025,$359.84,49209850,$364.125,$374.59,$359.48
04/03/2025,$373.11,30198000,$374.785,$377.48,$369.35
04/02/2025,$382.14,16092560,$377.965,$385.08,$376.62
04/01/2025,$382.19,19689500,$374.65,$382.85,$373.23
03/31/2025,$375.39,35184680,$372.535,$377.07,$367.24
03/28/2025,$378.80,21632020,$388.08,$389.13,$376.93
03/27/2025,$390.58,13766760,$390.13,$392.24,$387.395
03/26/2025,$389.97,16132910,$395.00,$395.31,$388.57
03/25/2025,$395.16,15774970,$393.915,$396.36,$392.64
03/24/2025,$393.08,21004550,$395.40,$395.40,$389.81
03/21/2025,$391.26,39675930,$383.215,$391.74,$382.80
03/20/2025,$386.84,18470540,$385.735,$391.785,$383.28
03/19/2025,$387.82,19185530,$385.525,$389.68,$384.00
03/18/2025,$383.52,19486850,$387.07,$387.37,$381.10
03/17/2025,$388.70,22474270,$386.70,$392.705,$385.57
03/14/2025,$388.56,19952850,$379.775,$390.23,$379.51
03/13/2025,$378.77,20473020,$383.155,$385.32,$377.45
03/12/2025,$383.27,24253570,$382.95,$385.2165,$378.9507
03/11/2025,$380.45,30380180,$379.00,$386.00,$376.91
03/10/2025,$380.16,32840130,$385.84,$386.40,$377.22
03/07/2025,$393.31,22034090,$392.32,$394.80,$385.54
03/06/2025,$396.89,23304630,$394.28,$402.15,$392.6777
03/05/2025,$401.02,23433130,$389.34,$401.67,$388.81
03/04/2025,$388.61,29342920,$383.40,$392.58,$381.00
