Date,Close/Last,Volume,Open,High,Low
06/16/2025,$201.70,6902665,$200.57,$204.00,$199.08
06/13/2025,$200.32,16093450,$200.675,$202.23,$195.28
06/12/2025,$203.75,30586620,$202.17,$206.34,$201.28
06/11/2025,$214.00,5398772,$215.50,$216.205,$212.2101
06/10/2025,$215.73,8190124,$217.58,$217.9005,$213.2514
06/09/2025,$217.51,9419229,$211.23,$218.80,$211.09
06/06/2025,$210.80,6079682,$210.24,$211.11,$208.04
06/05/2025,$209.02,4764376,$212.50,$212.99,$208.22
06/04/2025,$211.98,5705277,$214.77,$214.99,$211.03
06/03/2025,$213.43,8106080,$212.00,$215.80,$211.77
06/02/2025,$211.47,7561816,$210.98,$212.3409,$207.90
05/30/2025,$207.32,7485089,$206.77,$207.70,$204.35
05/29/2025,$208.18,16345990,$201.775,$212.28,$201.50
05/28/2025,$201.50,5481504,$201.95,$202.45,$200.215
05/27/2025,$201.03,5857940,$204.28,$205.00,$200.88
05/23/2025,$202.36,5255185,$199.95,$203.20,$198.75
05/22/2025,$203.41,3634495,$202.53,$204.73,$201.85
05/21/2025,$203.21,6616295,$206.60,$207.1196,$202.43
05/20/2025,$207.67,5875970,$205.00,$208.62,$205.00
05/19/2025,$205.25,5740193,$203.00,$205.60,$202.30
05/16/2025,$205.82,8496835,$205.69,$206.24,$203.02
05/15/2025,$206.24,9583873,$207.35,$208.60,$205.42
05/14/2025,$204.72,16872270,$205.80,$209.66,$204.05
05/13/2025,$203.42,13509490,$200.295,$205.73,$199.67
05/12/2025,$198.53,9340695,$198.16,$198.78,$193.06
05/09/2025,$194.85,7669875,$193.55,$195.30,$192.18
05/08/2025,$191.70,15344060,$186.76,$194.75,$186.22
05/07/2025,$185.56,6098643,$185.00,$186.72,$183.50
05/06/2025,$185.96,4947965,$184.71,$186.20,$183.63
05/05/2025,$186.46,5413742,$184.39,$187.58,$184.39
05/02/2025,$185.46,8695904,$185.00,$187.58,$184.08
05/01/2025,$182.89,7322871,$182.85,$184.75,$182.03
04/30/2025,$183.24,6266805,$178.47,$183.79,$177.63
04/29/2025,$182.00,6795042,$182.52,$184.25,$181.20
04/28/2025,$182.30,9302600,$182.75,$184.53,$180.75
04/25/2025,$177.95,7644173,$176.50,$180.325,$175.86
04/24/2025,$176.26,10984170,$171.20,$177.40,$169.00
04/23/2025,$172.37,16264680,$174.00,$176.58,$169.91
04/22/2025,$162.52,9147290,$162.50,$163.09,$158.50
04/21/2025,$159.34,5703810,$160.00,$160.00,$156.47
04/17/2025,$161.90,9227259,$157.13,$163.90,$157.00
04/16/2025,$156.47,6809550,$154.365,$157.6589,$153.545
04/15/2025,$155.52,11541120,$155.275,$159.1201,$155.275
04/14/2025,$159.28,7288736,$159.82,$162.55,$157.6001
04/11/2025,$156.84,8810699,$154.62,$157.59,$152.00
04/10/2025,$155.52,10374980,$154.98,$157.345,$149.41
