Date,Close/Last,Volume,Open,High,Low
06/16/2025,$401.73,6798251,$392.985,$405.00,$391.11
06/13/2025,$391.68,10629680,$392.50,$399.85,$383.75
06/12/2025,$413.68,6313316,$411.43,$416.39,$410.77
06/11/2025,$412.84,3385416,$415.20,$416.0432,$410.42
06/10/2025,$416.06,2627431,$416.605,$419.82,$414.42
06/09/2025,$416.26,3034210,$417.295,$419.00,$415.15
06/06/2025,$416.92,2146908,$417.54,$419.645,$415.28
06/05/2025,$415.20,2276924,$415.00,$421.48,$413.98
06/04/2025,$413.91,1843425,$411.54,$415.94,$410.08
06/03/2025,$412.49,2737513,$403.455,$412.64,$402.476
06/02/2025,$403.40,4153688,$408.88,$410.00,$396.73
05/30/2025,$415.09,4231334,$414.14,$417.86,$411.53
05/29/2025,$413.36,1781393,$414.00,$415.4203,$410.47
05/28/2025,$412.23,2246508,$413.81,$416.37,$411.42
05/27/2025,$413.10,2680356,$412.76,$414.95,$411.60
05/23/2025,$407.69,2087674,$409.11,$411.45,$407.15
05/22/2025,$414.33,1889487,$412.51,$417.8984,$412.51
05/21/2025,$414.03,2495783,$414.855,$422.95,$412.59
05/20/2025,$417.61,2453377,$417.87,$419.13,$414.29
05/19/2025,$420.68,3007984,$413.53,$421.27,$413.1993
05/16/2025,$417.125,5391532,$414.62,$421.765,$412.06
05/15/2025,$404.69,2763813,$399.35,$404.85,$399.35
05/14/2025,$399.47,2409217,$396.85,$400.12,$396.42
05/13/2025,$397.40,2664142,$395.90,$399.67,$394.71
05/12/2025,$395.94,3157670,$394.33,$397.82,$392.755
05/09/2025,$383.28,2031324,$386.18,$388.77,$382.33
05/08/2025,$383.99,3383867,$388.30,$388.731,$383.40
05/07/2025,$384.97,2153771,$384.70,$387.83,$380.945
05/06/2025,$382.98,2970086,$376.565,$386.52,$375.05
05/05/2025,$381.06,2095559,$379.29,$384.54,$378.40
05/02/2025,$380.87,2340739,$380.09,$383.5615,$379.19
05/01/2025,$374.63,2848778,$378.30,$380.44,$374.07
04/30/2025,$374.98,3305481,$366.87,$376.00,$363.56
04/29/2025,$370.98,2198291,$367.21,$373.88,$366.88
